INCI_Name,Aliases,Ingredient_Class,Functional_Category,Min_Effective_%,Optimal_%,Max_Safe_%,Primary_Benefits,Mechanism_of_Action,Skin_Concerns,Recommended_pH,Stability_Notes,Irritation_Risk,Comedogenicity_0_5,Pregnancy_Safety,Evidence_Strength,Avg_Time_To_Results,Effect_Strength_Weight,Synergistic_Ingredients,Contraindications,Red_Flag_Tags,Evidence_Level_Normalized,Evidence_Factor,Final_Effect_Score,Sun_Protection_Role,UV_Damage_Role,Tanning_Role,Evidence_Quality,Role_Weight,Clinical_Weight,Sensitive_Skin_Risk,Formulation_Role,Biological_Action,Solubility,Usage_Type,pKa,LogP,MW_Daltons,Avg_Time_Category,Avg_Time_Notes,Regional_Restrictions,Activity_Tier,Activity_Tier_Weight
Vibrio Alginolyticus Ferment Filtrate,Marine bacteria ferment filtrate; Vibrio postbiotic,Active,Humectant; Barrier repair,0.5,1.0,3.0,Hydration; vibrio alginol,Exopolysaccharide water binding; Antioxidant ferment metabolites,Aging & Fine Lines; Hydration,,,Low,0.0,Insufficient data; consult doctor before use in pregnancy,Limited,,,,Related Allergy,,Limited,0.4,,,,,Moderate,4.0,4.0,Unknown,Humectant,Exopolysaccharide water binding; Antioxidant ferment metabolites,Water,Leave-on,,,,,,,Tier 3: Bioactive Base,0.5
Tea Tree Oil,Melaleuca Alternifolia leaf oil; Terpinen-4-ol source,Active,Antimicrobial; Anti-acne,0.5,1.0,5.0,Anti-acne; Antimicrobial; Sebum reduction,Terpinen-4-ol antimicrobial membrane disruption; C. acnes inhibition,Redness; Acne & Oily Skin; Large Pores,4.0-7.0,,Low-Moderate,0.0,Insufficient data; consult doctor before use in pregnancy,Limited,,,,Related Allergy,,Limited,0.4,,,,,Moderate,4.0,4.0,Unknown,Skin Conditioning,Terpinen-4-ol antimicrobial; Sebum reduction,Oil,Leave-on,,,,,,,Tier 3: Bioactive Base,0.5
Zinc Sulfate,ZnSO4; Zinc vitriol,Active,Anti-acne; Sebum regulation,0.5,1.0,3.0,Zinc salts such as zinc gluconate; Soothing; but it is used in skincare for its an,An antibacterial ingredient used in skincare.,Acne & Oily Skin; Redness,4.0-6.0,,Low,0.0,Insufficient data; consult doctor before use in pregnancy,Limited,,,,Related Allergy,,Limited,0.4,,,,,Moderate,4.0,4.0,Unknown,Skin Conditioning,An antibacterial ingredient used in skincare.,Water,Wash-off,,,,,,,Tier 2: Secondary Active,0.8
Neoglucosamine,N-Acetyl glucosamine derivative; Glucosamine analog,Active,Brightening; Gentle exfoliant,2.0,4.0,6.0,Hydration; Exfoliation / Texture; Anti-aging; a compound naturally f,HA precursor synthesis; Mild tyrosinase inhibition; Keratolytic desquamation,Pigmentation; Dullness; Aging & Fine Lines; Hydration; Acne & Oily Skin; Large Pores; Uneven Texture,,,Low,0.0,Insufficient data; consult doctor before use in pregnancy,Limited,,,,Related Allergy; Impaired skin barrier,,Limited,0.4,,,,,Moderate,4.0,4.0,Unknown,Exfoliant,HA precursor synthesis; Mild tyrosinase inhibition; Keratolytic desquamation,Both,Leave-on,,,,,,,Tier 2: Secondary Active,0.8
Marine Bioretinol Complex,Algae-Derived Retinoid;Phytoretinol,Active,Retinoid Alternative,0.5,2.0,5.0,Anti-aging; Gentle retinoid alternative; Retinoid Alternative,Retinoid receptor modulation via marine compounds,Aging & Fine Lines,5.5-7.0,Light stable;More stable than retinol,Low,0.0,Safe (emerging data),Moderate,8-12 weeks,0.7,Niacinamide; Peptides,None known,Emerging data; Limited long-term studies,Moderate,0.7,0.4899999999999999,,,,Moderate clinical evidence,4.0,6.0,Low,Skin Conditioning,Retinoid receptor modulation via marine compounds,Oil,Leave-on,,,,Long (8w+),8-12 weeks,,Tier 2: Secondary Active,0.8
Vegan Polydeoxyribonucleotide,Plant-Derived PDRN;Microbial PDRN,Active,Regenerative,0.5,1.0,3.0,Regenerative healing; Anti-aging; Barrier repair; Collagen synthesis; A2A receptor activation; Ethical sustainable source,Adenosine A2A receptor activation,Barrier Repair,6.0-7.5,Heat sensitive;Stable formulation required,Low,0.0,Insufficient data; consult doctor before use in pregnancy,Limited,4-8 weeks,0.85,Peptides; Ceramides,Acids,New to market 2026; Limited clinical data,Moderate,0.7,0.34,,,,Moderate clinical evidence (mostly procedure-based RCTs),4.0,6.0,Low,Skin Conditioning,Adenosine A2A receptor activation,Both,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 2: Secondary Active,0.8
Senolytic Peptide Complex,Cell-Clearing Peptides;Anti-Senescence Complex,Active,Peptide; Anti-aging,0.01,0.05,0.1,Cellular renewal; Senescent cell clearance; Peptide; Anti-aging; Targets senescent cell markers,Targets senescent cell markers,Dullness; Aging & Fine Lines,5.0-7.0,Stable;Requires specific formulation,Low,0.0,Insufficient data; consult doctor before use in pregnancy,Limited,8-16 weeks,0.8,NAD+ boosters; Antioxidants,Strong acids,New 2026; Marketing hype; Limited data,Limited,0.4,0.3200000000000001,,,,Small cosmetic studies; limited independent long-term data,4.0,4.0,Low,Skin Conditioning,Targets senescent cell markers,Water,Leave-on,,,,Mid (4-8w),8-16 weeks,,Tier 2: Secondary Active,0.8
Nicotinamide Mononucleotide,NMN;NAD+ Precursor,Active,NAD+ Booster; Anti-aging,0.5,2.0,5.0,Cellular energy; Barrier Support; NAD+ Booster; Anti-aging; NAD+ biosynthesis precursor,NAD+ biosynthesis precursor,Dullness; Aging & Fine Lines; Barrier Repair,5.5-7.0,Moderate stability;Protected formulation needed,Low,0.0,Insufficient data; consult doctor before use in pregnancy,Moderate,6-12 weeks,0.75,Niacinamide; Resveratrol,None known,Premium pricing; Topical efficacy debated,Moderate,0.7,0.5249999999999999,,,,Limited / Emerging,4.0,6.0,Low,Skin Conditioning,NAD+ biosynthesis precursor,Both,Leave-on,,,,Long (8w+),6-12 weeks,,Tier 2: Secondary Active,0.8
Fucose-Rich Polysaccharide Complex,Advanced Beta-Glucan;Fucoidan Complex,Active,Barrier Repair; Soothing,0.5,2.0,5.0,Barrier Support; Microbiome support; Soothing; Immune modulation; Glycan signaling,Immune modulation; Glycan signaling,Barrier Repair; Sensitive Skin; Redness,5.0-7.0,Stable,Low,0.0,Safe,Limited,2-6 weeks,0.8,Ceramides; Panthenol,,,Limited,0.4,0.3200000000000001,,,,Limited clinical evidence,8.0,4.0,Low,Skin Conditioning,Immune modulation; Glycan signaling,Both,Leave-on,,,,Short (1-4w),2-6 weeks,,Tier 2: Secondary Active,0.8
Postbiotic Lactobacillus Metabolite,Advanced Postbiotic;Microbiome Metabolite,Active,Microbiome Support; Barrier,1.0,3.0,8.0,Microbiome balance; Barrier Support; Microbiome Support; Postbiotic metabolite signaling,Postbiotic metabolite signaling,Barrier Repair; Sensitive Skin; Acne & Oily Skin,5.0-7.0,Stable,Low,0.0,Safe,Limited,3-8 weeks,0.75,Prebiotics; Ceramides,,,Limited,0.4,0.3,,,,Limited clinical evidence,8.0,4.0,Low,Skin Conditioning,Postbiotic metabolite signaling,Both,Leave-on,,,,Short (1-4w),3-8 weeks,,Tier 2: Secondary Active,0.8
Pycnogenol,Pine bark extract,Active,Antioxidant,0.05,0.2,1.0,Collagen protection; Antioxidant; Polyphenol complex,Polyphenol complex,Aging & Fine Lines; UV Damage,5.0-7.0,Stable,Low,0.0,Safe,Moderate,8-12 weeks,0.7,Vitamin C,,,Moderate,0.7,0.4899999999999999,,,,Moderate,5.0,6.0,Low,Antioxidant,Polyphenol complex,Water,Leave-on,,,,Long (8w+),8-12 weeks,,Tier 2: Secondary Active,0.8
Ceramide EOS,Ceramide 1; Omega-esterified ceramide,Active,Barrier repair,0.05,0.2,1.0,Barrier Support; SC lipid mimicry,SC lipid mimicry,Barrier Repair,5.0-7.0,Stable,Low,0.0,Safe,Strong,4-8 weeks,0.95,Cholesterol,,,Strong,1.0,0.95,,,,Strong Clinical,8.0,8.0,Low,Skin Conditioning,SC lipid mimicry,Oil,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 3: Bioactive Base,0.5
Hexapeptide-9,Collagen peptide,Active,Repair peptide,0.005,0.02,0.1,Barrier Support; ECM stimulation,ECM stimulation,Aging & Fine Lines; Barrier Repair,5.0-7.0,Stable,Low,0.0,Safe,Moderate,8-12 weeks,0.75,Copper peptide,,Cosmetic-only,Limited,0.4,0.5249999999999999,,,,Small cosmetic studies; limited independent long-term data,4.0,4.0,Low,Skin Conditioning,ECM stimulation,Water,Leave-on,,,,Long (8w+),8-12 weeks,,Tier 2: Secondary Active,0.8
Azelaoyl Glycine,Potassium Azeloyl Diglycinate,Active,Anti-acne; Brightening,3.0,6.0,10.0,Oil Control; Brightening; Anti-acne; 5a-reductase inhibition,5a-reductase inhibition,Pigmentation; Acne & Oily Skin; Dullness,5.5-7.0,Stable,Low,0.0,Safe,Moderate,6-10 weeks,0.8,Niacinamide,,,Moderate,0.7,0.5599999999999999,,,,Moderate,4.0,6.0,Low,Skin Conditioning,5a-reductase inhibition,Water,Leave-on,,,,Mid (4-8w),6-10 weeks,,Tier 2: Secondary Active,0.8
Azelaic Acid Derivative,Azelaic Acid Ester,Active,Anti-acne; Brightening,2.0,5.0,10.0,Reduced irritation azelaic; Anti-acne; Brightening; Gradual azelaic release,Gradual azelaic release,Pigmentation; Acne & Oily Skin; Dullness,5.0-6.5,Stable,Low,0.0,Safe,Moderate,6-10 weeks,0.75,Niacinamide,,,Moderate,0.7,0.5249999999999999,,,,Moderate clinical evidence,4.0,6.0,Low,Skin Conditioning,Gradual azelaic release,Water,Leave-on,,,,Mid (4-8w),6-10 weeks,,Tier 2: Secondary Active,0.8
Glutathione Ethyl Ester,GSH-EE,Active,Brightening; Antioxidant,0.05,0.2,1.0,Improved penetration glutathione; Brightening; Antioxidant; Enhanced cellular uptake,Enhanced cellular uptake,Pigmentation; Dullness; UV Damage; Aging & Fine Lines,5.0-7.0,Oxidation sensitive,Low,0.0,Safe,Moderate,8-12 weeks,0.75,Vitamin C,,Stability,Moderate,0.7,0.5249999999999999,,,,Moderate,5.0,6.0,Low,Antioxidant,Enhanced cellular uptake,Both,Leave-on,,,,Long (8w+),8-12 weeks,,Tier 2: Secondary Active,0.8
Tripeptide-10 Citrulline,Decorinyl,Active,Repair peptide,0.005,0.02,0.1,Collagen organization; Barrier Support; ECM regulation,ECM regulation,Aging & Fine Lines; Barrier Repair,5.0-7.0,Stable,Low,0.0,Safe,Moderate,8-12 weeks,0.7,Peptides,,Cosmetic-only,Limited,0.4,0.4899999999999999,,,,Small cosmetic studies; limited independent long-term data,4.0,4.0,Low,Skin Conditioning,ECM regulation,Water,Leave-on,,,,Long (8w+),8-12 weeks,,Tier 2: Secondary Active,0.8
Mulberry Extract,Morus Alba Extract,Active,Brightening,0.1,0.5,2.0,Melanin suppression; Brightening; Tyrosinase inhibition,Tyrosinase inhibition,Pigmentation; Dullness,5.0-7.0,Stable,Low,0.0,Safe,Moderate,6-10 weeks,0.75,Tranexamic Acid,,,Moderate,0.7,0.5249999999999999,,,,Moderate,4.0,6.0,Low,Skin Conditioning,Tyrosinase inhibition,Water,Leave-on,,,,Mid (4-8w),6-10 weeks,,Tier 2: Secondary Active,0.8
Arnica Montana Extract,Arnica Extract,Active,Anti-inflammatory,0.05,0.2,1.0,Soothing; Anti-inflammatory; Bruising reduction,Anti-inflammatory flavonoids,Redness,5.0-7.0,Stable,Moderate,0.0,Avoid pregnancy,Limited,2-4 weeks,0.6,Panthenol,,Sensitization,Limited,0.4,0.24,,,,Limited / Emerging,4.0,4.0,Medium,Skin Conditioning,Anti-inflammatory flavonoids,Water,Leave-on,,,,Short (1-4w),2-4 weeks,,Tier 3: Bioactive Base,0.5
Azelaic Acid Liposome,Encapsulated Azelaic,Active,Anti-acne; Brightening,5.0,10.0,15.0,Lower irritation azelaic; Anti-acne; Brightening; Controlled release azelaic,Controlled release azelaic,Pigmentation; Acne & Oily Skin; Dullness,5.0-6.5,Stable,Low,0.0,Safe,Moderate,6-10 weeks,0.85,Niacinamide,,Encapsulation cost,Moderate,0.7,0.595,,,,Moderate clinical evidence,4.0,6.0,Low,Skin Conditioning,Controlled release azelaic,Water,Leave-on,,,,Mid (4-8w),6-10 weeks,,Tier 2: Secondary Active,0.8
Glucosyl Hesperidin,Hesperidin derivative,Active,Brightening; Circulation,0.1,0.5,2.0,Dark circle improvement; Brightening; Circulation; Microcirculation support,Microcirculation support,Dark Circles; Pigmentation; Dullness,5.0-7.0,Stable,Low,0.0,Safe,Limited,6-10 weeks,0.6,Niacinamide,,Eye-only benefit,Limited,0.4,0.24,,,,Limited / Emerging,4.0,4.0,Low,Skin Conditioning,Microcirculation support,Both,Leave-on,,,,Mid (4-8w),6-10 weeks,,Tier 2: Secondary Active,0.8
Tetrapeptide-21,Signal peptide,Active,Anti-aging peptide,0.005,0.02,0.1,Collagen I increase; Anti-aging; Fibroblast stimulation,Fibroblast stimulation,Aging & Fine Lines,5.0-7.0,Stable,Low,0.0,Safe,Moderate,8-12 weeks,0.75,Vitamin C,,Cosmetic-only,Limited,0.4,0.5249999999999999,,,,Small cosmetic studies; limited independent long-term data,4.0,4.0,Low,Skin Conditioning,Fibroblast stimulation,Water,Leave-on,,,,Long (8w+),8-12 weeks,,Tier 2: Secondary Active,0.8
Copper Lysinate/Prolinate,Cu amino acid complex,Active,Repair peptide complex,0.01,0.05,0.2,Barrier Support; Copper-mediated healing,Copper-mediated healing,Aging & Fine Lines; Barrier Repair; Acne & Oily Skin,5.0-7.0,Stable,Low,0.0,Safe,Moderate,4-8 weeks,0.85,Peptides,Strong acids,Color,Moderate,0.7,0.595,,,,Moderate,4.0,6.0,Low,Skin Conditioning,Copper-mediated healing,Water,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 2: Secondary Active,0.8
Hydroxypinacolone Retinoate Complex,HPR complex,Active,Anti-aging,0.1,0.3,1.0,Lower irritation retinoid; Anti-aging; Buffered retinoid delivery,Buffered retinoid delivery,Aging & Fine Lines,5.5-7.0,Stable,Moderate,1.0,Avoid pregnancy,Strong,8-12 weeks,0.9,Niacinamide,Benzoyl Peroxide,Irritation,Strong,1.0,0.9,,,,Strong Clinical,4.0,8.0,Medium,Skin Conditioning,Buffered retinoid delivery,Both,Leave-on,,,,Long (8w+),8-12 weeks,,Tier 2: Secondary Active,0.8
Oligopeptide-68,Brightening peptide,Active,Pigment control,0.001,0.01,0.05,Melanin reduction; Brightening; MITF suppression,MITF suppression,Pigmentation; Dullness,5.0-7.0,Stable,Low,0.0,Safe,Limited,8-12 weeks,0.75,Tranexamic Acid,,Weak independent data,Limited,0.4,0.3,,,,Small cosmetic studies; limited independent long-term data,4.0,4.0,Low,Colorant,MITF suppression,Water,Leave-on,,,,Long (8w+),8-12 weeks,,Tier 2: Secondary Active,0.8
Tranexamic Acid Polymer,Polymeric TXA,Active,Brightening,0.5,2.0,5.0,Brightening; Controlled TXA release,Controlled TXA release,Pigmentation; Dullness,5.5-7.0,Stable,Low,0.0,Safe,Limited,8-12 weeks,0.85,Niacinamide,,Emerging tech,Limited,0.4,0.34,,,,Limited clinical evidence,4.0,4.0,Low,Skin Conditioning,Controlled TXA release,Water,Leave-on,,,,Long (8w+),8-12 weeks,,Tier 2: Secondary Active,0.8
Oligopeptide-34,Brightening peptide,Active,Pigmentation control,0.001,0.01,0.05,Melanin reduction; Brightening; MITF suppression,MITF suppression,Pigmentation; Dullness,5.0-7.0,Stable,Low,0.0,Safe,Moderate,8-12 weeks,0.8,Tranexamic Acid,,Weak solo effect,Limited,0.4,0.5599999999999999,,,,Small cosmetic studies; limited independent long-term data,4.0,4.0,Low,Colorant,MITF suppression,Water,Leave-on,,,,Long (8w+),8-12 weeks,,Tier 2: Secondary Active,0.8
Oligopeptide-51,Melanostatine-5,Active,Pigmentation peptide,0.001,0.01,0.05,Melanin inhibition; Brightening; a-MSH antagonism,a-MSH antagonism,Pigmentation; Dullness,5.0-7.0,Stable,Low,0.0,Safe,Moderate,8-12 weeks,0.8,Niacinamide,,,Limited,0.4,0.5599999999999999,,,,Small cosmetic studies; limited independent long-term data,4.0,4.0,Low,Colorant,a-MSH antagonism,Water,Leave-on,,,,Long (8w+),8-12 weeks,,Tier 2: Secondary Active,0.8
Exosome Extract,Plant-derived exosomes,Active,Regenerative signaling,0.01,0.05,0.2,Cell communication support; Regenerative signaling; Extracellular vesicle signaling,Extracellular vesicle signaling,Aging & Fine Lines; Barrier Repair,6.0-7.5,Heat sensitive,Low,0.0,Avoid pregnancy - use caution,Limited,6-12 weeks,0.85,Peptides,,Emerging tech,Limited,0.4,0.34,,,,"Emerging clinical data (small cosmetic trials, often with devices)",4.0,4.0,Low,Skin Conditioning,Extracellular vesicle signaling,Water,Leave-on,,,,Long (8w+),6-12 weeks,,Tier 2: Secondary Active,0.8
Ethylhexyl Methoxycinnamate,Octinoxate; OMC; Parsol MCX,Active,UV filter (organic),2.0,7.5,10.0,Photoprotection,UV absorption,UV Damage; Aging & Fine Lines,5.5-7.5,Photounstable,Moderate,0.0,Avoid pregnancy - use caution,Strong,Immediate,0.8,Avobenzone,,Photoinstability,Strong,1.0,0.8,Primary UV Filter,,,Strong Clinical,4.0,8.0,Medium,UV Filter,UV absorption,Oil,Leave-on,,,,Immediate,Immediate,,Tier 1: Primary Active,1.0
Iron Oxides,CI 77491/92/99,Active,UV-visible filter,0.5,3.0,10.0,Visible light protection; Photoprotection; Blue-light absorption,Blue-light absorption,Pigmentation; UV Damage; Aging & Fine Lines,6.0-8.0,Stable,Low,0.0,Safe,Moderate,Immediate,0.85,Zinc Oxide,,Color residue,Moderate,0.7,0.595,,,,Moderate,4.0,6.0,Low,Skin Conditioning,Blue-light absorption,Both,Leave-on,,,,Immediate,Immediate,,Tier 4: Inert Functional,0.1
Retinyl Acetate,Vitamin A acetate,Active,Vitamin A ester,0.05,0.3,1.0,Cell turnover; Vitamin A ester; Enzymatic retinol conversion,Enzymatic retinol conversion,Aging & Fine Lines,5.5-7.0,Light sensitive,Moderate,1.0,Avoid pregnancy,Moderate,12-24 weeks,0.6,Antioxidants,,Weak potency,Moderate,0.7,0.42,,,,Moderate,4.0,6.0,Medium,Skin Conditioning,Enzymatic retinol conversion,Oil,Leave-on,,7.9,328.49,Short (1-4w),12-24 weeks,EU: 0.3% RE face / 0.05% RE body (eff. Nov 2025),Tier 1: Primary Active,1.0
Retinyl Linoleate,Vitamin A linoleate,Active,Vitamin A ester,0.05,0.3,1.0,Barrier Support; Vitamin A ester; Slow retinol release,Slow retinol release,Aging & Fine Lines; Barrier Repair; Sensitive Skin,5.5-7.0,Light sensitive,Low,1.0,Avoid pregnancy,Limited,16-24 weeks,0.55,Linoleic Acid,,Very weak efficacy,Limited,0.4,0.22,,,,Limited / Emerging,4.0,4.0,Low,Skin Conditioning,Slow retinol release,Oil,Leave-on,,,,Long (8w+),16-24 weeks,,Tier 1: Primary Active,1.0
Oligopeptide-24,TGF-? mimetic,Active,Growth factor mimetic,0.001,0.01,0.05,Barrier Support; Growth factor mimetic; SMAD pathway signaling,SMAD pathway signaling,Aging & Fine Lines; Barrier Repair,5.5-7.5,Stable,Low,0.0,Avoid pregnancy - use caution,Limited,8-12 weeks,0.85,Peptides,,Medical-claim risk,Limited,0.4,0.34,,,,Small cosmetic studies; limited independent long-term data,4.0,4.0,Low,Skin Conditioning,SMAD pathway signaling,Water,Leave-on,,,,Long (8w+),8-12 weeks,,Tier 2: Secondary Active,0.8
Callus Culture Extract,Stem cell extract,Active,Antioxidant; Repair,0.1,0.5,2.0,Cell protection; Antioxidant; Barrier Support; Polyphenol signaling,Polyphenol signaling,Aging & Fine Lines; Barrier Repair; UV Damage,5.0-7.0,Stable,Low,0.0,Safe,Moderate,8-12 weeks,0.7,Antioxidants,,Stem-cell marketing,Moderate,0.7,0.4899999999999999,,,,Limited / Emerging,5.0,6.0,Low,Antioxidant,Polyphenol signaling,Water,Leave-on,,,,Long (8w+),8-12 weeks,,Tier 3: Bioactive Base,0.5
Human Adipose Stem Cell Conditioned Media,ADSC-CM,Active,Regenerative (cosmetic-grade),0.01,0.05,0.2,Skin regeneration; Regenerative (cosmetic-grade); Secretome signaling,Secretome signaling,Aging & Fine Lines,6.0-7.5,Heat sensitive,Low,0.0,Avoid pregnancy,Limited,6-12 weeks,0.9,Peptides,,Regulatory gray zone,Limited,0.4,0.36,,,,Limited / Emerging,4.0,4.0,Low,Skin Conditioning,Secretome signaling,Both,Leave-on,,,,Long (8w+),6-12 weeks,,Tier 3: Bioactive Base,0.5
Tranexamic Acid Cetyl Phosphate,TXC,Active,Brightening,1.0,3.0,5.0,Melasma control; Brightening; Plasmin inhibition,Plasmin inhibition,Pigmentation; Dullness,5.5-7.0,Stable,Low,0.0,Safe,Strong,8-12 weeks,0.9,Niacinamide,,Japan-only,Strong,1.0,0.9,,,,Strong Clinical,4.0,8.0,Low,Skin Conditioning,Plasmin inhibition,Water,Leave-on,,,,Long (8w+),8-12 weeks,,Tier 2: Secondary Active,0.8
4-Methoxysalicylic Acid Potassium Salt,4MSK,Active,Brightening,0.5,2.0,4.0,Brightening; Keratinocyte turnover,Keratinocyte turnover,Pigmentation; Dullness,4.5-6.0,Stable,Low,0.0,Safe,Strong,6-10 weeks,0.85,Vitamin C,,Japan-only,Strong,1.0,0.85,,,,Strong Clinical,4.0,8.0,Low,Skin Conditioning,Keratinocyte turnover,Water,Leave-on,,,,Mid (4-8w),6-10 weeks,,Tier 2: Secondary Active,0.8
Tranexamic Acid Stearate,TXS,Active,Brightening (Korea/Japan),0.5,2.0,5.0,Sustained TXA delivery; Brightening; Controlled release,Controlled release,Pigmentation; Dullness,5.5-7.0,Stable,Low,0.0,Safe,Moderate,8-12 weeks,0.85,Niacinamide,,Regional use,Moderate,0.7,0.595,,,,Moderate clinical evidence,4.0,6.0,Low,Skin Conditioning,Controlled release,Water,Leave-on,,,,Long (8w+),8-12 weeks,,Tier 2: Secondary Active,0.8
Madecassoside Asiatica Complex,CICA complex (KR),Active,Barrier; Soothing,0.1,0.5,2.0,Barrier Support; Soothing; Triterpene synergy,Triterpene synergy,Barrier Repair; Sensitive Skin,5.0-7.0,Stable,Low,0.0,Safe,Strong,4-8 weeks,0.8,Panthenol,,,Strong,1.0,0.8,,,,Strong Clinical,8.0,8.0,Low,Skin Conditioning,Triterpene synergy,Both,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 3: Bioactive Base,0.5
Aqua,Water; H2O,Functional,Solvent; Base vehicle,,,,Solvent; Base vehicle; Hydration,Universal solvent; Ingredient dissolution and delivery,,,,Low,0.0,Safe,Limited,,,,,,Limited,0.4,,,,,,4.0,4.0,Low,Skin Conditioning,Universal solvent; Ingredient dissolution and delivery,Both,Leave-on,,,,,,,Tier 4: Inert Functional,0.1
Sodium Hyaluronate,HA sodium salt; Hyaluronate sodium,Active,Humectant; Film former,0.1,1.0,2.0,Hydration; Barrier repair; Film formation; Plumping,Hygroscopic water binding; Osmotic hydration gradient; Film formation,Hydration; Barrier Repair,4.0-7.0,,Low,0.0,Safe,Strong,,0.75,,,,Strong,1.0,0.75,,,,,4.0,8.0,Low,Skin Conditioning,Hygroscopic water binding; Osmotic hydration gradient; Film formation,Water,Leave-on,,-1.5,>1M,,,,Tier 3: Bioactive Base,0.5
Cocos Nucifera Oil,Coconut Oil;Cocos Nucifera (Coconut) Oil,Functional,Emollient,1.0,5.0,100.0,Hydration; Occlusive,Occlusive,Hydration,4.0-7.0,Stable,Low,4.0,Safe,Limited,Immediate,0.3,,,Pore clogging,Limited,0.4,0.12,,,,,6.0,4.0,Low,Emollient,Occlusive,Oil,Leave-on,,,,Immediate,Immediate,,Tier 3: Bioactive Base,0.5
Water/Aqua,Purified Water,Solvent,Vehicle/Base,,,,Solvent; improves spreadability; dissolves actives; Vehicle/Base,Acts as universal solvent and dispersion medium,,,Microbial growth risk without preservatives,Low,0.0,Safe,Moderate,Immediate (texture effect),0.0,Humectants; emulsifiers,,,Moderate,0.7,0.0,,,,,4.0,6.0,Low,Skin Conditioning,Acts as universal solvent and dispersion medium,Both,Leave-on,,,,Immediate,Immediate (texture effect),,Tier 4: Inert Functional,0.1
Propylene Glycol Dicaprylate/Dicaprate,PG Dicaprylate/Dicaprate,Functional,Texture enhancer,,,,Improves spreadability; reduces greasiness; Exfoliation / Texture,Light ester that softens and conditions skin,Uneven Texture; Hydration; Barrier Repair,,Stable ester oil,Low-Moderate,1.0,Safe,Limited,Immediate sensory effect,1.0,UV filters; silicones,None known,Can cause allergic/irritant dermatitis in a small %; caution in eczema,Limited,0.4,0.4,,,,,4.0,4.0,High,Skin Conditioning,Light ester that softens and conditions skin,Water,Leave-on,,,,Immediate,Immediate sensory effect,,Tier 4: Inert Functional,0.1
Titanium Dioxide (nano),Nano TiO2,Mineral UV Filter,Sunscreen active,,,,Photoprotection; Sunscreen active,Reflects and scatters UV radiation,Pigmentation; UV Damage; Aging & Fine Lines,6.0-8.0,Photostable; coating improves safety,Low,1.0,Safe,Strong,Immediate UV protection,5.0,Zinc Oxide; organic UV filters,Avoid inhalation (sprays),Nano material,Strong,1.0,5.0,,,,,10.0,8.0,Low,Skin Conditioning,Reflects and scatters UV radiation,Both,Leave-on,,,,Immediate,Immediate UV protection,,Tier 4: Inert Functional,0.1
Nylon-12,Polyamide-12,Functional,Oil absorber,,,,Oil Control; matte finish; Oil absorber; Anti-acne,Absorbs sebum and reduces shine,Acne & Oily Skin; Large Pores,3.0-10.0,Inert polymer,Low,0.0,Safe,Limited,Immediate mattifying effect,1.0,Silica; oil-absorbing powders,,Microplastic concern,Limited,0.4,0.4,,,,,4.0,4.0,Low,Skin Conditioning,Absorbs sebum and reduces shine,Oil,Leave-on,,,,Immediate,Immediate mattifying effect,,Tier 4: Inert Functional,0.1
Diisopropyl Adipate,DIPA,Functional,Texture enhancer,,,,Improves slip; reduces tackiness; Exfoliation / Texture; Lightweight ester softens skin,Lightweight ester softens skin,Uneven Texture; Hydration,,Stable ester,Low,1.0,Safe,Moderate,Immediate sensory benefit,1.0,UV filters; silicones,None known,,Moderate,0.7,0.7,,,,,4.0,6.0,Low,Skin Conditioning,Lightweight ester softens skin,Both,Leave-on,,,,Immediate,Immediate sensory benefit,,Tier 4: Inert Functional,0.1
Silybum Marianum Extract,Milk Thistle Extract,Active,"Antioxidant, soothing",,,,Antioxidant; Soothing; Rich in silymarin; reduces oxidative stress,Rich in silymarin; reduces oxidative stress,Aging & Fine Lines; Redness; Acne & Oily Skin; UV Damage,,Sensitive to light; use stabilized extracts,Low,0.0,Safe,Moderate,4-8 weeks,2.0,Vitamin E; Niacinamide,Allergy to Asteraceae family,Botanical allergen potential,Moderate,0.7,1.4,,,,,5.0,6.0,Low,Antioxidant,Rich in silymarin; reduces oxidative stress,Water,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 3: Bioactive Base,0.5
Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,Acrylate Copolymer,Polymer,"Thickener, stabilizer",,,,Stabilizes emulsions; Exfoliation / Texture; Thickener; stabilizer; Forms gel network for viscosity control,Forms gel network for viscosity control,Uneven Texture,,Stable polymer,Low,0.0,Safe,Limited,Immediate texture effect,0.0,Emulsifiers,,Microplastic concern,Limited,0.4,0.0,,,,,4.0,4.0,Low,Thickener,Forms gel network for viscosity control,Water,Leave-on,,,,Immediate,Immediate texture effect,,Tier 4: Inert Functional,0.1
