INCI_Name,Aliases,Ingredient_Class,Functional_Category,Min_Effective_%,Optimal_%,Max_Safe_%,Primary_Benefits,Mechanism_of_Action,Skin_Concerns,Recommended_pH,Stability_Notes,Irritation_Risk,Comedogenicity_0_5,Pregnancy_Safety,Evidence_Strength,Avg_Time_To_Results,Effect_Strength_Weight,Synergistic_Ingredients,Contraindications,Red_Flag_Tags,Evidence_Level_Normalized,Evidence_Factor,Final_Effect_Score,Sun_Protection_Role,UV_Damage_Role,Tanning_Role
Marine Bioretinol Complex,Algae-Derived Retinoid;Phytoretinol,Active,Retinoid Alternative,0.5,2,5,Anti-aging;Gentle retinoid alternative,Retinoid receptor modulation via marine compounds,Fine lines;Sensitive aging skin,5.5-7.0,Light stable;More stable than retinol,Low,0.0,Generally safe (emerging data),Moderate,8-12 weeks,0.7,Niacinamide;Peptides,None known,Emerging data;Limited long-term studies,Moderate,0.7,0.4899999999999999,,,
Vegan Polydeoxyribonucleotide,Plant-Derived PDRN;Microbial PDRN,Active,Regenerative,0.5,1,3,Tissue repair;Regeneration,Adenosine A2A receptor activation,Barrier damage;Post-procedure healing,6.0-7.5,Heat sensitive;Stable formulation required,Low,0.0,Caution advised (limited data),Limited,4-8 weeks,0.85,Peptides;Ceramides,Acids,New to market 2026;Limited clinical data,Limited,0.4,0.34,,,
Senolytic Peptide Complex,Cell-Clearing Peptides;Anti-Senescence Complex,Active,Peptide;Anti-aging,0.01,0.05,0.1,Cellular renewal;Senescent cell clearance,Targets senescent cell markers,Advanced aging;Dull skin,5.0-7.0,Stable;Requires specific formulation,Low,0.0,Avoid (insufficient data),Limited,8-16 weeks,0.8,NAD+ boosters;Antioxidants,Strong acids,New 2026;Marketing hype;Limited data,Limited,0.4,0.3200000000000001,,,
Nicotinamide Mononucleotide,NMN;NAD+ Precursor,Active,NAD+ Booster;Anti-aging,0.5,2,5,Cellular energy;DNA repair,NAD+ biosynthesis precursor,Aging;Dullness;Barrier weakness,5.5-7.0,Moderate stability;Protected formulation needed,Low,0.0,Caution (insufficient topical data),Moderate,6-12 weeks,0.75,Niacinamide;Resveratrol,None known,Premium pricing;Topical efficacy debated,Moderate,0.7,0.5249999999999999,,,
Fucose-Rich Polysaccharide Complex,Advanced Beta-Glucan;Fucoidan Complex,Active,Barrier Repair;Soothing,0.5,2,5,Barrier strengthening;Microbiome support,Immune modulation;Glycan signaling,Barrier damage;Sensitive skin;Redness,5.0-7.0,Stable,Low,0.0,Safe,Limited,2-6 weeks,0.8,Ceramides;Panthenol,,,Limited,0.4,0.3200000000000001,,,
Postbiotic Lactobacillus Metabolite,Advanced Postbiotic;Microbiome Metabolite,Active,Microbiome Support;Barrier,1,3,8,Microbiome balance;Barrier resilience,Postbiotic metabolite signaling,Sensitive skin;Barrier weakness;Acne,5.0-7.0,Stable,Low,0.0,Safe,Limited,3-8 weeks,0.75,Prebiotics;Ceramides,,,Limited,0.4,0.3,,,
Pycnogenol,Pine bark extract,Active,Antioxidant,0.05,0.2,1,Collagen protection,Polyphenol complex,Aging,5.0-7.0,Stable,Low,0.0,Safe,Moderate,8-12 weeks,0.7,Vitamin C,,,Moderate,0.7,0.4899999999999999,,,
Ceramide EOS,Ceramide EOS,Active,Barrier repair,0.05,0.2,1,Barrier repair,SC lipid mimicry,Barrier,5.0-7.0,Stable,Low,0.0,Safe,Strong,4-8 weeks,0.95,Cholesterol,,,Strong,1.0,0.95,,,
Hexapeptide-9,Collagen peptide,Active,Repair peptide,0.005,0.02,0.1,Skin repair,ECM stimulation,Aging,5.0-7.0,Stable,Low,0.0,Safe,Moderate,8-12 weeks,0.75,Copper peptide,,Cosmetic-only,Moderate,0.7,0.5249999999999999,,,
Azelaoyl Glycine,Potassium Azeloyl Diglycinate,Active,Anti-acne;Brightening,3,6,10,Oil control;Tone even,5α-reductase inhibition,Acne;PIH,5.5-7.0,Stable,Low,0.0,Safe,Moderate,6-10 weeks,0.8,Niacinamide,,,Moderate,0.7,0.5599999999999999,,,
Azelaic Acid Derivative,Azelaic Acid Ester,Active,Anti-acne;Brightening,2,5,10,Reduced irritation azelaic,Gradual azelaic release,Acne;PIH,5.0-6.5,Stable,Low,0.0,Safe,Moderate,6-10 weeks,0.75,Niacinamide,,,Moderate,0.7,0.5249999999999999,,,
Glutathione Ethyl Ester,GSH-EE,Active,Brightening;Antioxidant,0.05,0.2,1,Improved penetration glutathione,Enhanced cellular uptake,Pigmentation,5.0-7.0,Oxidation sensitive,Low,0.0,Safe,Moderate,8-12 weeks,0.75,Vitamin C,,Stability,Moderate,0.7,0.5249999999999999,,,
Tripeptide-10 Citrulline,Decorinyl,Active,Repair peptide,0.005,0.02,0.1,Collagen organization,ECM regulation,Aging,5.0-7.0,Stable,Low,0.0,Safe,Moderate,8-12 weeks,0.7,Peptides,,Cosmetic-only,Moderate,0.7,0.4899999999999999,,,
Mulberry Extract,Morus Alba Extract,Active,Brightening,0.1,0.5,2,Melanin suppression,Tyrosinase inhibition,Pigmentation,5.0-7.0,Stable,Low,0.0,Safe,Moderate,6-10 weeks,0.75,Tranexamic Acid,,,Moderate,0.7,0.5249999999999999,,,
Arnica Montana Extract,Arnica Extract,Active,Anti-inflammatory,0.05,0.2,1,Redness reduction,Anti-inflammatory flavonoids,Post-procedure,5.0-7.0,Stable,Medium,0.0,Avoid pregnancy,Limited,2-4 weeks,0.6,Panthenol,,Sensitization,Limited,0.4,0.24,,,
Azelaic Acid Liposome,Encapsulated Azelaic,Active,Anti-acne;Brightening,5,10,15,Lower irritation azelaic,Controlled release azelaic,Acne;PIH,5.0-6.5,Stable,Low,0.0,Safe,Moderate,6-10 weeks,0.85,Niacinamide,,Encapsulation cost,Moderate,0.7,0.595,,,
Glucosyl Hesperidin,Hesperidin derivative,Active,Brightening;Circulation,0.1,0.5,2,Dark circle improvement,Microcirculation support,Dark circles,5.0-7.0,Stable,Low,0.0,Safe,Limited,6-10 weeks,0.6,Niacinamide,,Eye-only benefit,Limited,0.4,0.24,,,
Tetrapeptide-21,Signal peptide,Active,Anti-aging peptide,0.005,0.02,0.1,Collagen I increase,Fibroblast stimulation,Aging,5.0-7.0,Stable,Low,0.0,Safe,Moderate,8-12 weeks,0.75,Vitamin C,,Cosmetic-only,Moderate,0.7,0.5249999999999999,,,
Copper Lysinate/Prolinate,Cu amino acid complex,Active,Repair peptide complex,0.01,0.05,0.2,Wound repair,Copper-mediated healing,Post-acne;Aging,5.0-7.0,Stable,Low,0.0,Safe,Moderate,4-8 weeks,0.85,Peptides,Strong acids,Color,Moderate,0.7,0.595,,,
Hydroxypinacolone Retinoate Complex,HPR complex,Active,Anti-aging,0.1,0.3,1,Lower irritation retinoid,Buffered retinoid delivery,Aging,5.5-7.0,Stable,Medium,1.0,Avoid pregnancy,Strong,8-12 weeks,0.9,Niacinamide,BPO,Irritation,Strong,1.0,0.9,,,
Oligopeptide-68,Brightening peptide,Active,Pigment control,0.001,0.01,0.05,Melanin reduction,MITF suppression,Pigmentation,5.0-7.0,Stable,Low,0.0,Safe,Limited,8-12 weeks,0.75,Tranexamic Acid,,Weak independent data,Limited,0.4,0.3,,,
Tranexamic Acid Polymer,Polymeric TXA,Active,Brightening,0.5,2,5,Sustained pigment control,Controlled TXA release,Melasma,5.5-7.0,Stable,Low,0.0,Safe,Limited,8-12 weeks,0.85,Niacinamide,,Emerging tech,Limited,0.4,0.34,,,
Oligopeptide-34,Brightening peptide,Active,Pigmentation control,0.001,0.01,0.05,Melanin reduction,MITF suppression,Pigmentation,5.0-7.0,Stable,Low,0.0,Safe,Moderate,8-12 weeks,0.8,Tranexamic Acid,,Weak solo effect,Moderate,0.7,0.5599999999999999,,,
Oligopeptide-51,Melanostatine-5,Active,Pigmentation peptide,0.001,0.01,0.05,Melanin inhibition,α-MSH antagonism,Pigmentation,5.0-7.0,Stable,Low,0.0,Safe,Moderate,8-12 weeks,0.8,Niacinamide,,,Moderate,0.7,0.5599999999999999,,,
Exosome Extract,Plant-derived exosomes,Active,Regenerative signaling,0.01,0.05,0.2,Cell communication support,Extracellular vesicle signaling,Aging;Barrier,6.0-7.5,Heat sensitive,Low,0.0,Avoid pregnancy caution,Limited,6-12 weeks,0.85,Peptides,,Emerging tech,Limited,0.4,0.34,,,
Ethylhexyl Methoxycinnamate,Octinoxate,Active,UV filter (organic),2,7.5,10,UVB protection,UV absorption,Sunburn,5.5-7.5,Photounstable,Medium,0.0,Avoid pregnancy caution,Strong,Immediate,0.8,Avobenzone,,Photoinstability,Strong,1.0,0.8,,,
Iron Oxides,CI 77491/92/99,Active,UV-visible filter,0.5,3,10,Visible light protection,Blue-light absorption,Melasma,6.0-8.0,Stable,Low,0.0,Safe,Moderate,Immediate,0.85,Zinc Oxide,,Color residue,Moderate,0.7,0.595,,,
Retinyl Acetate,Vitamin A acetate,Active,Vitamin A ester,0.05,0.3,1,Cell turnover,Enzymatic retinol conversion,Aging,5.5-7.0,Light sensitive,Medium,1.0,Avoid pregnancy,Moderate,12-24 weeks,0.6,Antioxidants,,Weak potency,Moderate,0.7,0.42,,,
Retinyl Linoleate,Vitamin A linoleate,Active,Vitamin A ester,0.05,0.3,1,Barrier-friendly retinoid,Slow retinol release,Aging;Sensitive,5.5-7.0,Light sensitive,Low,1.0,Avoid pregnancy,Limited,16-24 weeks,0.55,Linoleic Acid,,Very weak efficacy,Limited,0.4,0.22,,,
Oligopeptide-24,TGF-β mimetic,Active,Growth factor mimetic,0.001,0.01,0.05,Wrinkle repair,SMAD pathway signaling,Aging,5.5-7.5,Stable,Low,0.0,Avoid pregnancy caution,Limited,8-12 weeks,0.85,Peptides,,Medical-claim risk,Limited,0.4,0.34,,,
Callus Culture Extract,Stem cell extract,Active,Antioxidant;Repair,0.1,0.5,2,Cell protection,Polyphenol signaling,Aging,5.0-7.0,Stable,Low,0.0,Safe,Moderate,8-12 weeks,0.7,Antioxidants,,Stem-cell marketing,Moderate,0.7,0.4899999999999999,,,
Human Adipose Stem Cell Conditioned Media,ADSC-CM,Active,Regenerative (cosmetic-grade),0.01,0.05,0.2,Skin regeneration,Secretome signaling,Aging,6.0-7.5,Heat sensitive,Low,0.0,Avoid pregnancy,Limited,6-12 weeks,0.9,Peptides,,Regulatory gray zone,Limited,0.4,0.36,,,
Tranexamic Acid Cetyl Phosphate,TXC,Active,Brightening (Japan),1,3,5,Melasma control,Plasmin inhibition,Melasma,5.5-7.0,Stable,Low,0.0,Safe,Strong,8-12 weeks,0.9,Niacinamide,,Japan-only,Strong,1.0,0.9,,,
4-Methoxysalicylic Acid Potassium Salt,4MSK,Active,Brightening (Japan),0.5,2,4,Pigment reduction,Keratinocyte turnover,Pigmentation,4.5-6.0,Stable,Low,0.0,Safe,Strong,6-10 weeks,0.85,Vitamin C,,Japan-only,Strong,1.0,0.85,,,
Tranexamic Acid Stearate,TXS,Active,Brightening (Korea/Japan),0.5,2,5,Sustained TXA delivery,Controlled release,Melasma,5.5-7.0,Stable,Low,0.0,Safe,Moderate,8-12 weeks,0.85,Niacinamide,,Regional use,Moderate,0.7,0.595,,,
Madecassoside Asiatica Complex,CICA complex (KR),Active,Barrier;Soothing,0.1,0.5,2,Barrier repair,Triterpene synergy,Sensitive,5.0-7.0,Stable,Low,0.0,Safe,Strong,4-8 weeks,0.8,Panthenol,,K-beauty staple,Strong,1.0,0.8,,,
Aqua,,Filler,,,,,,,,,,Low,0.0,,Limited,,,,,,Limited,0.4,,,,
Sodium Hyaluronate,,Active,,,,,,,Hydration,,,Low,0.0,Safe,Strong,,0.75,,,,Strong,1.0,0.75,,,
Cocos Nucifera Oil,Coconut Oil;Cocos Nucifera (Coconut) Oil,Functional,Emollient,1.0,5,100,Moisturizing,Occlusive,Dryness,4.0-7.0,Stable,Low,4.0,Safe,Limited,Immediate,0.3,,,Pore clogging,Limited,0.4,0.12,,,
Water/Aqua,Purified Water,Solvent,Vehicle/Base,q.s.,30-80%,No limit (cosmetic use),"Solvent, improves spreadability, dissolves actives",Acts as universal solvent and dispersion medium,All skin types,Formulation dependent,Microbial growth risk without preservatives,Very Low,0.0,Safe,Moderate,Immediate (texture effect),0.0,"Humectants, emulsifiers",,,Moderate,0.7,0.0,,,
Propylene Glycol Dicaprylate/Dicaprate,PG Dicaprylate/Dicaprate,Emollient,Texture enhancer,1%,2-10%,No specific limit,"Improves spreadability, reduces greasiness",Light ester that softens and conditions skin,"Dryness, barrier support",Formulation dependent,Stable ester oil,Low,1.0,Safe,Limited,Immediate sensory effect,1.0,"UV filters, silicones",None known,,Limited,0.4,0.4,,,
Titanium Dioxide (nano),Nano TiO2,Mineral UV Filter,Sunscreen active,2%,5-10%,25% (region dependent),Broad spectrum UVB/UVA2 protection,Reflects and scatters UV radiation,"Sun protection, pigmentation",Stable across wide pH,Photostable; coating improves safety,Low (topical),1.0,Generally considered safe topically,Strong,Immediate UV protection,5.0,"Zinc Oxide, organic UV filters",Avoid inhalation (sprays),Nano material,Strong,1.0,5.0,,,
Nylon-12,Polyamide-12,Texture Modifier,Oil absorber,1%,2-8%,No specific limit,"Oil control, matte finish",Absorbs sebum and reduces shine,"Oily skin, enlarged pores",Formulation dependent,Inert polymer,Very Low,0.0,Safe,Limited,Immediate mattifying effect,1.0,"Silica, oil-absorbing powders",,Microplastic concern,Limited,0.4,0.4,,,
Diisopropyl Adipate,DIPA,Emollient Ester,Texture enhancer,1%,3-15%,No specific limit,"Improves slip, reduces tackiness",Lightweight ester softens skin,Dryness,Formulation dependent,Stable ester,Low,1.0,Safe,Moderate,Immediate sensory benefit,1.0,"UV filters, silicones",None known,,Moderate,0.7,0.7,,,
Silybum Marianum Extract,Milk Thistle Extract,Botanical Extract,"Antioxidant, soothing",0.1%,0.5-2%,No specific limit,"Antioxidant, anti-inflammatory",Rich in silymarin; reduces oxidative stress,"Redness, acne, photoaging",4-7,Sensitive to light; use stabilized extracts,Low,0.0,Likely safe topically,Moderate,4-8 weeks,2.0,"Vitamin E, Niacinamide",Allergy to Asteraceae family,Botanical allergen potential,Moderate,0.7,1.4,,,
Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,Acrylate Copolymer,Polymer,"Thickener, stabilizer",0.2%,0.5-2%,No specific limit,"Stabilizes emulsions, improves texture",Forms gel network for viscosity control,All skin types,4-8,Stable polymer,Very Low,0.0,Safe,Limited,Immediate texture effect,0.0,Emulsifiers,,Microplastic concern,Limited,0.4,0.0,,,
Acacia Senegal Gum,Gum Arabic,Plant Gum,"Film former, stabilizer",0.5%,1-5%,No specific limit,"Film forming, skin tightening effect",Creates flexible film on skin surface,"Fine lines, texture",Formulation dependent,May affect viscosity in high electrolyte systems,Low,0.0,Safe,Limited,Immediate tightening effect,1.0,Humectants,Rare plant allergy,Botanical allergen potential,Limited,0.4,0.4,,,
Trisodium Ethylenediamine Disuccinate,EDDS,Chelating Agent,Stabilizer,0.05%,0.1-0.3%,No specific limit,Enhances preservative efficacy,Binds metal ions to prevent oxidation,All skin types,4-8,Improves formula stability,Very Low,0.0,Safe,Limited,Immediate stabilization,0.0,"Preservatives, antioxidants",,,Limited,0.4,0.0,,,
Titanium Dioxide,,Mineral UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,UV protection,"Absorbs, reflects, or scatters UV radiation","Photoaging, pigmentation, skin cancer prevention",Formulation dependent,Check photostability & filter compatibility,Low–Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,Check regional approval,Strong,1.0,5.0,Primary UV Filter,Primary UV Block,Primary UV Block
Zinc Oxide,,Mineral UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,UV protection,"Absorbs, reflects, or scatters UV radiation","Photoaging, pigmentation, skin cancer prevention",Formulation dependent,Check photostability & filter compatibility,Low–Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,Check regional approval,Strong,1.0,5.0,Primary UV Filter,Primary UV Block,Primary UV Block
Avobenzone,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,UV protection,"Absorbs, reflects, or scatters UV radiation","Photoaging, pigmentation, skin cancer prevention",Formulation dependent,Check photostability & filter compatibility,Low–Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,Check regional approval,Strong,1.0,5.0,Primary UV Filter,Primary UV Block,Primary UV Block
Octinoxate,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,UV protection,"Absorbs, reflects, or scatters UV radiation","Photoaging, pigmentation, skin cancer prevention",Formulation dependent,Check photostability & filter compatibility,Low–Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,Check regional approval,Strong,1.0,5.0,Primary UV Filter,Primary UV Block,Primary UV Block
Octisalate,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,UV protection,"Absorbs, reflects, or scatters UV radiation","Photoaging, pigmentation, skin cancer prevention",Formulation dependent,Check photostability & filter compatibility,Low–Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,Check regional approval,Strong,1.0,5.0,,,
Octocrylene,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,UV protection,"Absorbs, reflects, or scatters UV radiation","Photoaging, pigmentation, skin cancer prevention",Formulation dependent,Check photostability & filter compatibility,Low–Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,Check regional approval,Strong,1.0,5.0,Primary UV Filter,Primary UV Block,Primary UV Block
Homosalate,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,UV protection,"Absorbs, reflects, or scatters UV radiation","Photoaging, pigmentation, skin cancer prevention",Formulation dependent,Check photostability & filter compatibility,Low–Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,Check regional approval,Strong,1.0,5.0,Primary UV Filter,Primary UV Block,Primary UV Block
Oxybenzone,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,UV protection,"Absorbs, reflects, or scatters UV radiation","Photoaging, pigmentation, skin cancer prevention",Formulation dependent,Check photostability & filter compatibility,Low–Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,Check regional approval,Strong,1.0,5.0,,,
Ensulizole,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,UV protection,"Absorbs, reflects, or scatters UV radiation","Photoaging, pigmentation, skin cancer prevention",Formulation dependent,Check photostability & filter compatibility,Low–Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,Check regional approval,Strong,1.0,5.0,Primary UV Filter,Primary UV Block,Primary UV Block
Meradimate,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,UV protection,"Absorbs, reflects, or scatters UV radiation","Photoaging, pigmentation, skin cancer prevention",Formulation dependent,Check photostability & filter compatibility,Low–Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,Check regional approval,Strong,1.0,5.0,,,
Ecamsule,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,UV protection,"Absorbs, reflects, or scatters UV radiation","Photoaging, pigmentation, skin cancer prevention",Formulation dependent,Check photostability & filter compatibility,Low–Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,Check regional approval,Strong,1.0,5.0,Primary UV Filter,Primary UV Block,Primary UV Block
Diethylamino Hydroxybenzoyl Hexyl Benzoate,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,UV protection,"Absorbs, reflects, or scatters UV radiation","Photoaging, pigmentation, skin cancer prevention",Formulation dependent,Check photostability & filter compatibility,Low–Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,Check regional approval,Strong,1.0,5.0,Primary UV Filter,Primary UV Block,Primary UV Block
Ethylhexyl Triazone,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,UV protection,"Absorbs, reflects, or scatters UV radiation","Photoaging, pigmentation, skin cancer prevention",Formulation dependent,Check photostability & filter compatibility,Low–Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,Check regional approval,Strong,1.0,5.0,Primary UV Filter,Primary UV Block,Primary UV Block
Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,UV protection,"Absorbs, reflects, or scatters UV radiation","Photoaging, pigmentation, skin cancer prevention",Formulation dependent,Check photostability & filter compatibility,Low–Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,Check regional approval,Strong,1.0,5.0,Primary UV Filter,Primary UV Block,Primary UV Block
Methylene Bis-Benzotriazolyl Tetramethylbutylphenol,,Hybrid UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,UV protection,"Absorbs, reflects, or scatters UV radiation","Photoaging, pigmentation, skin cancer prevention",Formulation dependent,Check photostability & filter compatibility,Low–Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,Check regional approval,Strong,1.0,5.0,Primary UV Filter,Primary UV Block,Primary UV Block
Polysilicone-15,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,UV protection,"Absorbs, reflects, or scatters UV radiation","Photoaging, pigmentation, skin cancer prevention",Formulation dependent,Check photostability & filter compatibility,Low–Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,Check regional approval,Strong,1.0,5.0,,,
Terephthalylidene Dicamphor Sulfonic Acid,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,UV protection,"Absorbs, reflects, or scatters UV radiation","Photoaging, pigmentation, skin cancer prevention",Formulation dependent,Check photostability & filter compatibility,Low–Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,Check regional approval,Strong,1.0,5.0,,,
Phenylbenzimidazole Sulfonic Acid,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,UV protection,"Absorbs, reflects, or scatters UV radiation","Photoaging, pigmentation, skin cancer prevention",Formulation dependent,Check photostability & filter compatibility,Low–Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,Check regional approval,Strong,1.0,5.0,,,
Isoamyl p-Methoxycinnamate,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,UV protection,"Absorbs, reflects, or scatters UV radiation","Photoaging, pigmentation, skin cancer prevention",Formulation dependent,Check photostability & filter compatibility,Low–Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,Check regional approval,Strong,1.0,5.0,,,
Diethylhexyl Butamido Triazone,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,UV protection,"Absorbs, reflects, or scatters UV radiation","Photoaging, pigmentation, skin cancer prevention",Formulation dependent,Check photostability & filter compatibility,Low–Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,Check regional approval,Strong,1.0,5.0,,,
Drometrizole Trisiloxane,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,UV protection,"Absorbs, reflects, or scatters UV radiation","Photoaging, pigmentation, skin cancer prevention",Formulation dependent,Check photostability & filter compatibility,Low–Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,Check regional approval,Strong,1.0,5.0,,,
Benzophenone-1,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,UV protection,"Absorbs, reflects, or scatters UV radiation","Photoaging, pigmentation, skin cancer prevention",Formulation dependent,Check photostability & filter compatibility,Low–Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,Check regional approval,Strong,1.0,5.0,,,
Benzophenone-2,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,UV protection,"Absorbs, reflects, or scatters UV radiation","Photoaging, pigmentation, skin cancer prevention",Formulation dependent,Check photostability & filter compatibility,Low–Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,Check regional approval,Strong,1.0,5.0,,,
Benzophenone-3,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,UV protection,"Absorbs, reflects, or scatters UV radiation","Photoaging, pigmentation, skin cancer prevention",Formulation dependent,Check photostability & filter compatibility,Low–Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,Check regional approval,Strong,1.0,5.0,,,
Benzophenone-4,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,UV protection,"Absorbs, reflects, or scatters UV radiation","Photoaging, pigmentation, skin cancer prevention",Formulation dependent,Check photostability & filter compatibility,Low–Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,Check regional approval,Strong,1.0,5.0,,,
Benzophenone-5,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,UV protection,"Absorbs, reflects, or scatters UV radiation","Photoaging, pigmentation, skin cancer prevention",Formulation dependent,Check photostability & filter compatibility,Low–Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,Check regional approval,Strong,1.0,5.0,,,
Camphor Benzalkonium Methosulfate,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,UV protection,"Absorbs, reflects, or scatters UV radiation","Photoaging, pigmentation, skin cancer prevention",Formulation dependent,Check photostability & filter compatibility,Low–Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,Check regional approval,Strong,1.0,5.0,,,
UV Filter Variant 1,,Organic UV Filter,Sunscreen Active,Varies,Regulatory dependent,Region dependent,UV protection,"Absorbs, reflects, or scatters UV radiation","Photoaging, pigmentation, skin cancer prevention",Formulation dependent,Check photostability & filter compatibility,Low–Moderate (depends on filter),0.0,Mineral preferred; organic varies,Strong,Immediate protection,5.0,"Antioxidants, film formers",Sensitive skin may react to some organic filters,Check regional approval,Strong,1.0,5.0,,,
